0ajcie czuwajcie
yła siła
0yła łaziła
0yłem i_wróciłem
0yły wieńczyły
0yły wiły
XXX1 Don
XXX1 a_tu
XXX1 biec
XXX1 brał
XXX1 być
XXX1 być
XXX1 był
XXX1 był
XXX1 był
XXX1 był
XXX1 chan
XXX1 chce
XXX1 choć_mróz
XXX1 chłód
XXX1 co_by
XXX1 co_masz
XXX1 coś
XXX1 cyfr
XXX1 czort
XXX1 czy_jest
XXX1 czy_tam
XXX1 cóż
XXX1 dać
XXX1 dni
XXX1 dwie
XXX1 dym
XXX1 gdy_sam
XXX1 gdzie
XXX1 gość
XXX1 głos
XXX1 hm
XXX1 i_żarł
XXX1 iść
XXX1 iść
XXX1 ja
XXX1 ja
XXX1 ja
XXX1 jam
XXX1 je
XXX1 je
XXX1 jest
XXX1 jest
XXX1 jest
XXX1 już
XXX1 już
XXX1 już
XXX1 krew
XXX1 krwi
XXX1 król
XXX1 ktoś
XXX1 lat
XXX1 lat
XXX1 lat
XXX1 lat
XXX1 lęk
XXX1 ma
XXX1 ma
XXX1 miał
XXX1 mur
XXX1 mógł
XXX1 mój
XXX1 ni
XXX1 niech
XXX1 nikt
XXX1 on
XXX1 pięć
XXX1 przecz-żem
XXX1 psów
XXX1 sag
XXX1 sam
XXX1 sprzed
XXX1 spór
XXX1 spór
XXX1 stał
XXX1 stąd
XXX1 stąd
XXX1 swych
XXX1 swój
XXX1 swą
XXX1 swą
XXX1 szał
XXX1 szli
XXX1 są
XXX1 są
XXX1 są
XXX1 są
XXX1 ta
XXX1 ta
XXX1 tak
XXX1 tam
XXX1 tam
XXX1 tam
XXX1 te
XXX1 traf
XXX1 tu
XXX1 tu
XXX1 tu
XXX1 tym
XXX1 w_nic
XXX1 w_nich
XXX1 wasz
XXX1 więc
XXX1 więc
XXX1 więc
XXX1 wstał
XXX1 wstał
XXX1 z_nich
XXX1 złe
XXX1 ów
XXX1 łąk
XXX1 ścian
XXX1 źle
XXX1 Żyd
XXX1 że_te
XXX3 Zagłoby
XXX3 aż_do_brzegówOśmiuset
XXX3 jednakże
XXX3 po_co_miałbym
aby aby
acia bracia
acił utracił
acja kombinacja
acje fiksację
actwem z_kozactwem
acy jacy
acy tacy
acznie nieznacznie
aczność baczność
acłaf wacław
ada o_lada
ada powiada
adać i_gadać
adać padać
adia radia
adne gromadne
adnej na_żadnej
adnie układnie
ado stado
ady blady
adził prowadził
adła padła
afcem krawcem
afczo porozumiewawczo
afi potrafi
afpuł na_wpół
afty nafty
aga odwaga
agih nagich
agle nagle
agnoł pragnął
agłe smagłe
agże wszakże
ahem ze_strachem
ajco zdrajcą
ajmniej przynajmniej
ajni i_w_stajni
ajołsz mająż
aju kraju
aju z_Raju
aki majaki
aki taki
akie jakie
akiem smakiem
akieś gdy_jakieś
akimś z_jakimś
akiś jakiś
ako i_jako
akoś jakoś
akrwi za_krwi
aku jak_na_ptaku
akło nie_brakło
akło zbrakło
ala ocala
albo albo
alej dalej
alej dalej
alka niż_walka
alna niewidzialna
alnym z_sypialnym
ama sama
amić nie_splamić
amku w_zamku
amku zamku
amtej z_tamtej
amyh z_samych
anat granat
anda Fernanda
ane ścianę
anio poranią
anko niespodzianką
anku przez_ganku
anne przez_pannę
anty Inflanty
anu panu
apa jak_szczapa
apa szkapa
apis napis
apszut naprzód
ara jak_szara
ara szara
arbu skarbu
arbuf karbów
arce skarcę
arcie na_poparcie
ardia gwardia
are karę
arie husarie
arku zegarku
arni czarni
aron baron
arta uparta
arty Marty
arty w_karty
arym starym
arłym zmarłym
asem pasem
asia Basia
asta miasta
astał wzrastał
asu czasu
asu do_czasu
aszko Paszko
ata Walrata
ata komnata
ater Plater
atniej co_do_ostatniej
ator senator
atszał patrzał
atszet nadszedł
atszeć patrzeć
atszyć nie_patrzyć
atuf światów
aty łopaty
atyh i_z_włochatych
atym na_tym
atym za_tym
atło pod_światło
awa sława
awda lecz_prawda
awiać stawiać
awiał i_stawiał
awim z_pawim
awno ustawną
awnyh z_dawnych
awnym i_sławnym
awo na_prawo
awo prawą
awy do_Warszawy
awy zabawy
awyh kulawych
azać pokazać
azdy i_jazdy
azguf drobiazgów
azie kniazie
azji fantazji
azu i_od_razu
azu od_razu
azy i_obrazy
azy rozkazy
aćpan waćpan
ałah oddziałach
ałdium gaudium
ałej w_całej
ałtuf kształtów
ałyh małych
ałym stałym
aśnie wrzaśnie
aśnie właśnie
aźniej najwyraźniej
ażał nie_zważał
ażdy każdy
ażem pod_Zbarażem
ażo przekażą
ażo twarzą
eał ideał
eba trzeba
ebacz na_pogrzebacz
ebie ciebie
ebie ciebie
ebie że_ciebie
eby ażeby
eccy świeccy
eci bo_dzieci
eci dzieci
eci zaleci
eciesz przecież
ecki Rzecki
ecku niż_po_szlachecku
eczełć pieczęć
eczeń przyrzeczeń
eczuf mieczów
eden jeden
ednak jednak
ednak jednak
ednak jednak
ednej biednej
ednio poprzednio
edny biedny
edwie ledwie
edy a_kiedy
edy i_kiedy
edy tedy
edy tedy
edy tedy
edzi siedzi
edział bo_nie_wiedział
edział powiedział
edział powiedział
edłszy przyszedłszy
efka dziewka
efka śpiewka
egah szeregach
egnać żegnać
egu śniegu
ehał wyjechał
ehce i_nie_chce
ehy pociechy
ejest nie_jest
ejest nie_jest
ejeść przejeść
ejki dobrodziejki
ejscu miejscu
ekał lecz_czekał
eki do_rzeki
eku w_człeku
eku wieku
ekła rzekła
ekłbyś rzekłbyś
ekłem rzekłem
ela mela
elba strzelba
elbiał i_uwielbiał
ele i_w_dziele
eli nie_widzieli
eli nie_zapomnieli
eli zrozumieli
elki i_wszelki
elki wielki
elki wielki
elki wielki
elkih wszelkich
elko wielką
elna i_subtelna
embe gębę
emcuf Niemców
emi z_ziemi
emia endemia
emio ziemio
emnie wzajemnie
empnie następnie
empnym występnym
emste na_zemstę
emuk nie_mógł
emście o_zemście
encej nie_więcej
encej więcej
enczna i_ręczna
enczył wręczył
endy urzędy
endzej że_prędzej
endzia sędzia
endzie będzie
endzie wszędzie
endziesz że_będziesz
enga przysięga
engasz sięgasz
engo potęgą
enić przemienić
enka cienka
enka drewienka
enka panienka
enkać i_nękać
enke rękę
enki do_ręki
enkno piękną
enko ręką
enko ręką
enkszej większej
enkszej większej
enkłym w_rozmiękłym
enno odmienną
ennyh odmiennych
eno jeno
entnie skrzętnie
entro na_piętro
entsze piętrze
entszno wnętrzną
eo Buldeo
epa ślepa
epa ślepa
epiej lepiej
epiej zaś_lepiej
epnoł szepnął
epski Zerwiłebski
eptem szeptem
epło ciepło
era rulhiera
eras teraz
eras teraz
eras teraz
erał opierał
erci jak_i_o_śmierci
ercie kopercie
erdzia i_miłosierdzia
erni miłosierni
ernie niezmiernie
ernii z_Hibernii
ero i_że_dopiero
erpiał nie_cierpiał
erpnia sierpnia
ersał uniwersał
ersko rycerską
erwej pierwej
esie przyniesie
esiełć jak_na_dziesięć
esszum przez_szum
estwo królestwo
eszcze jeszcze
eszcze jeszcze
eszcze jeszcze
eszcze jeszcze
eszczełść nieszczęść
eszczom kleszczom
eszhli pierzchli
eszto zresztą
eszła odeszła
eszło przeszło
eszły przeszły
eta poeta
etah i_grzbietach
eten nie_ten
eten nie_ten
etne bezdzietne
etnim po_letnim
etno szlachetną
eto przeto
etszu w_powietrzu
ety bilety
etyh nie_tych
ewa ulewa
ewasz lecz_ponieważ
ewał śpiewał
ewicz Maruszewicz
ewien pewien
ewo ulewą
ezdne gwiezdne
ełah w_dziełach
ełsno nieszczęsną
ełsto często
ełścia szczęścia
eńcem wieńcem
eńcuf do_jeńców
eństwo męczeństwo
eści boleści
eścia przedmieścia
eście jesteście
eściu z_sześciu
eźli wynaleźli
eża żołnierza
eżdżasz nie_zjeżdżasz
eże przyjdźcieże
eże rycerze
eże zabierze
eże żołnierze
eżec na_kobierzec
eżność i_należność
eżność przynależność
eżo leżą
eżyć nie_żyć
obie czy_tobie
obie ku_sobie
obie na_dziobie
obie o_sobie
obie sobie
obie sobie
obie sobie
obie sobie
obić zarobić
obny podobny
obo osobą
obo przed_tobą
obu zza_grobu
oce w_zatoce
ocie i_w_żywocie
ocji promocji
ocno mocno
ocy północy
oczah w_oczach
ocznie widocznie
oczy i_ochoczy
oczym po_czym
oczył i_skoczył
oda wojewoda
odał dodał
odek środek
odem dowodem
odnio zachodnią
odniu po_dniu
odze przy_drodze
odzi schodzi
odzo godzą
odzo wychodzą
odźby choćby
odżec odrzec
odżek odrzekł
ofca i_synowca
ofcuf obcokrajowców
ofcuf prześladowców
ofski Wołodyjowski
ogah taurogach
ogi z_drogi
ogiej ze_srogiej
ogo mogą
ogły mogły
ohał co_kochał
oi de_toi
oih w_swoich
ojca ojca
ojcem i_ojcem
ojgu obojgu
ojna spokojna
ojnie znojnie
ojsko wojsko
ojuf bojów
ojżał spojrzał
oki foki
okiem z_tłomokiem
okna do_okna
oko głęboko
oko szeroko
oku do_skoku
oku mroku
ole niedole
oli soli
olkiem i_Olkiem
olmes Holmes
olskie polskie
olu bo_w_polu
oma rękoma
omek przydomek
ompie stąpię
ompił nastąpił
omu domu
omu nikomu
omy poziomy
onczce w_gorączce
onda przegląda
onda wygląda
ondał żądał
ondzie siądzie
one stronę
onem ogonem
onem tronem
ongnołć pociągnąć
ongu ciągu
ongły ciągły
onie dłonie
onie konie
onie stronie
oniej do_niej
oniej do_niej
oność na_zieloność
ontu frontu
opak chłopak
opań do_pań
opcem i_za_chłopcem
orah wieczorach
orej chorej
orem wieczorem
orem że_pod_pozorem
orstwa u_Podkomorstwa
osem głosem
osem głosem
osem głosem
osi nie_prosi
osił podnosił
osji z_Rosji
oskwy z_Moskwy
osnka piosnka
osta starosta
ostra siostra
ostu po_prostu
ostu prostu
osy włosy
osy włosy
osyć dosyć
oszo noszą
oszonc wznosząc
oszło poszło
ota i_tęsknota
otał bełkotał
ote złote
otem potem
otku na_środku
otny samotny
oto oto
otpar odparł
oty do_hołoty
oty na_sieroty
oty tęsknoty
owah słowach
owe w_głowę
owe za_głowę
owiek człowiek
ownik czarownik
owoc owoc
owu znowu
ozdział rozdział
ozu z_mrozu
ołać wołać
ołdre i_kołdrę
ołem apostołem
ołem wyjąłem
ołeś mknąłeś
oły wesoły
ołże że_książę
ońcem słońcem
ońmi choć_dłońmi
oźby niż_prośby
oże morze
oży i_doktorzy
ubie próbie
ubin zaślubin
ubli rubli
ubli rubli
ucie w_kajucie
ucić zwrócić
ucił zwrócił
ucka że_ludzka
uczeń jak_uczeń
uczyć poruczyć
udem i_brudem
udnie południe
udu ludu
udy cudy
udzi ludzi
udzie ludzie
udłem szczudłem
udżwiom ku_drzwiom
ufce w_wędrówce
ufczas wówczas
ugo długo
uha do_ucha
uha ducha
uha i_głucha
uhszo głuchszą
ujnej bujnej
uki dopóki
uknoł mruknął
ulhne pulchne
ulski Wokulski
umfie w_triumfie
umiem rozumiem
umieć porozumieć
umna trumna
umnym rozumnym
umor rumor
umy z_zadumy
unah biegunach
unie przesunie
unih u_nich
ura która
ura tura
urah górach
urbi Urbi
urcel wurcel
ure burę
uria Gburia-Furia
uru z_marmuru
urwy scurvy
ury który
ury piechury
ury z_góry
uryh a_których
uryh z_których
uryh z_których
usi Danusi
usiat i_usiadł
usiał musiał
uski Skrzetuski
ustaf Gustaw
ustej w_pustej
uszczke różdżkę
uszczyc Ruszczyc
uszka łóżka
usztry na_musztry
uszy do_duszy
uszy w_duszy
utaj nie_tutaj
utce wkrótce
utkiem smutkiem
utnie smutnie
uwa czuwa
uwać czuwać
uwionc mówiąc
uwił przemówił
uwna i_Jurandówna
uwniesz również
uwno zarówno
uzie śluzie
uzyn kuzyn
uża że_ze_wzgórza
użnił wyróżnił
uży służy
yby gdyby
ycar łycar
yce i_tajemnice
yce na_granicę
ycić nasycić
ycić uchwycić
yczać pożyczać
yczem królewiczem
yczem obliczem
yczki policzki
yczne polityczne
yczne publiczne
ycznie ustawicznie
yczym o_niczym
yczyn przyczyn
yczył nie_zliczył
ydeł skrzydeł
ydzeń przywidzeń
yfca myśliwca
yfszym najnieszczęśliwszym
yga szeliga
ygdy nigdy
ygdy że_nigdy
ygdzie i_nigdzie
ygdzie nigdzie
yhać słychać
yja pomija
yjan chrześcijan
yjdzie przyjdzie
yje nakryje
yje tyję
yje żyje
yjonc bijąc
yka Walijczyka
ykał dotykał
ykiem rówieśnikiem
ykiem z_rykiem
ykle niż_zwykle
ykra przykra
ykraść jak_wykraść
yku stoliku
ykuf a_od_okrzyków
ykuf za_włóczników
yla chwila
yle tyle
ylić schylić
ylko nie_tylko
ylko tylko
ylko tylko
ylko tylko
ylko tylko
ylna silna
ymał i_trzymał
ymie w_imię
ymno zimną
ymo pomimo
ympen grimpen
yna od_Jagmina
ynah w_godzinach
yncel Mincel
yne nowinę
ynicz Babinicz
ynio czynią
ynny co_słynny
yno z_miną
yno Śliwiną
ynu i_rozmarynu
yny jedyny
ypat przypadł
ypać sypać
ypał przysypał
ypko szybko
ypnym z_dowcipnym
yptem i_Egiptem
ysiaj dzisiaj
ysionc przysiąc
ysionc przysiąc
yska i_jagodziska
yska wyciska
yskiej niskiej
ysko blisko
yson Rawlison
yspu półwyspu
ystkie i_wszystkie
ystkie wszystkie
ystkih we_wszystkich
ystkim przede_wszystkim
ystko i_wszystko
ystko wszystko
ystwa towarzystwa
ystwu towarzystwu
ysty przezroczysty
yszka z_kieliszka
yszu towarzyszu
yszy gdy_z_niszy
ytaj czytaj
ytam pytam
ytam zapytam
ytać powitać
yte całkowite
yty ukryty
ytyh zabitych
ytym a_przy_tym
ytym a_przy_tym
ytym przy_tym
ytym przy_tym
yumf i_tryumf
ywe i_straszliwe
ywe prawdziwe
ywie i_przenikliwie
ywić krzywić
ywo dziwo
ywość dotkliwość
ywyh od_prawdziwych
yzny starszyzny
yzyt wizyt
yłe miłe
yłe siłę
yłku do_posiłku
yńskih u_Trawińskich
yście w_liście
yślał myślał
yślał rozmyślał
yślo nie_wyślą
yżby czyżby
yżek wyrzekł
yżu w_pobliżu
