0acie podpieracie
0owa umysłowa
owa ze_Spychowa
0ował odpokutował
owe na_owe
0owej Misiewiczowej
0owi sądowi
0owie więźniowie
0owy lipowy
owy rowy
owy rozmowy
0owy stalowy
0owyh i_akacjowych
owym po_owym
0ołfszy przysunąwszy
0ości możności
0ości ze_złości
0ościo nieobecnością
uje bo_czuje
0uje odwołuje
0uje zbuduję
ujonc czując
ujonc żując
0ycia z_życia
0ycia życia
ycie jak_o_świcie
0yfszy Wyłożywszy
0yfszy postanowiwszy
0yfszy że_wróciwszy
0yli Trudzili
0yli nie_policzyli
0yli poczynili
0yli ruszyli
0yli spalili
0yli wymyślili
0yli wyprzedzili
0ymi i_tęgimi
0ymi listkowymi
0ymi obcymi
0ymi swymi
0ymi z_odchylonymi
0ymi z_wyprostowanymi
0ymi żółtymi
0ywać używać
0ywał pokazywał
0yła doręczyła
0yła gasiła
0yła nie_opuściła
0yła odświeżyła
0yła stopiła
0yła tańczyła
0yłem prosiłem
0yłeś chwyciłeś
0yło było
0yło i_rzuciło
0yło nauczyło
0yło nie_było
0yły były
0yły były
0yły były
0yły były
0yły opóźniły
0yły pogrążyły
0yły rozłaziły
0yły wwaliły
yły zawiły
0yły świeciły
XXX1 Fon
XXX1 Huck
XXX1 a_duch
XXX1 a_pan
XXX1 barw
XXX1 bo_on
XXX1 brzmiał
XXX1 by
XXX1 być
XXX1 być
XXX1 był
XXX1 był
XXX1 był
XXX1 bór
XXX1 car
XXX1 co_je
XXX1 co_złe
XXX1 czas
XXX1 czuł
XXX1 czy_pójść
XXX1 czym
XXX1 dni
XXX1 dnia
XXX1 dojść
XXX1 dzień
XXX1 fig
XXX1 gdzie
XXX1 gdzież
XXX1 głos
XXX1 i_chcąc
XXX1 i_prócz
XXX1 i_sam
XXX1 i_wbrew
XXX1 i_wróć
XXX1 idź
XXX1 ja
XXX1 je
XXX1 je
XXX1 jest
XXX1 jest
XXX1 jest
XXX1 już
XXX1 już
XXX1 kark
XXX1 kraść
XXX1 król
XXX1 kto
XXX1 kto
XXX1 las
XXX1 list
XXX1 ma
XXX1 ma
XXX1 mam
XXX1 masz
XXX1 masz
XXX1 nasz
XXX1 nic
XXX1 niech
XXX1 och
XXX1 on
XXX1 on
XXX1 pas
XXX1 pian
XXX1 plan
XXX1 rzekł
XXX1 stąd
XXX1 tak
XXX1 tak
XXX1 tak
XXX1 tam
XXX1 te
XXX1 te
XXX1 ten
XXX1 ten
XXX1 ten
XXX1 toż
XXX1 trąb
XXX1 tu
XXX1 tu
XXX1 ty
XXX1 tym
XXX1 w_biel
XXX1 w_twarz
XXX1 w_tych
XXX1 w_tym
XXX1 wdzięk
XXX1 when
XXX1 wie
XXX1 wiózł
XXX1 więc
XXX1 więc
XXX1 wprost
XXX1 wstań
XXX1 z_tych
XXX1 zdejm
XXX1 zdrów
XXX1 ów
XXX1 łkań
XXX1 łzy
XXX1 łzy
XXX1 ślub
XXX1 śmie
XXX1 śmierć
XXX1 świat
XXX1 że_głód
XXX1 że_on
XXX1 żyć
XXX1 żyć
XXX3 Afryki
XXX3 Zagłoby
XXX3 pierzchnęłaby
XXX3 wyszliśmy
XXX3 zniesłaby
XXX4 moglibyśmy
abla szabla
ace tacę
aci w_postaci
aciom braciom
acił stracił
acja arystokracja
acja deputacja
acji wariacji
ackim w_kozackim
acy horacy
aczah na_słuchaczach
ada blada
ade nierade
adnie wpadnie
adnie że_bladnie
adość radość
adur Bahadur
adzie na_pokładzie
adzić odprowadzić
afcze prawodawcze
afiał trafiał
afshut na_wschód
afsze zawsze
afsze zawsze
afy szafy
agby jakby
agby jakby
aglanc na_glanc
agle nagle
agle nagle
agna Jagna
agniesz pragniesz
aguś Jaguś
agże wszakże
ahah blachach
ahcic szlachcic
ahem dachem
ahty płachty
ahut na_zachód
ajnie jednostajnie
aju kraju
aka ptaka
akeś i_jakeś
aki jaki
akie takie
akiś jakiś
ako jako
ako jako
ako jaką
akrok na_krok
akte ku_Akte
aktyk praktyk
aku o_piętaku
akuf z_okrąglaków
ala zapala
ale Michale
ale reale
ale wcale
alej a_dalej
alesz ależ
alniah w_kopalniach
alnie sypialnię
ama sama
amej samej
amej samej
amek zamek
amian zamian
amto a_tamto
amu i_omamu
anasz na_nasz
ane na_przemianę
anic bez_granic
anim zanim
aniom a_paniom
anioł anioł
anius zaniósł
anić otumanić
anka Janka
anka ranka
anki Anki
annym rannym
ansem romansem
antes Cervantes
anuf planów
apie łapie
apszut naprzód
apszut naprzód
apszut naprzód
ara ofiara
arah i_w_obszarach
aras zaraz
arda wzgarda
ardziej bardziej
ardzo bardzo
are choć_z_parę
arem pożarem
arfur Darfur
arfy harfy
arkocz warkocz
arno marną
aro niezdaro
arsay de_Marsay
arstwo łgarstwo
artii partii
arty żarty
aru a_do_buduaru
aru gwaru
ary kary
ary makary
ary stary
arym starym
asa a_od_pasa
asem a_tymczasem
asem tymczasem
asem tymczasem
asiak Podlasiak
asność jasność
asta miasta
asu czasu
asu do_czasu
asu hałasu
atce szufladce
atka matka
atku od_statku
atne przydatne
atniej do_ostatniej
atnyh i_delikatnych
atszeć popatrzeć
atszonc patrząc
atszył patrzył
atto aż_nadto
atuf adwokatów
atuf delegatów
atuf kandydatów
atwo jak_łatwo
aty armaty
atła światła
awa Stanisława
awem prawem
awet nawet
awie sławie
awić bawić
awnie nieprawnie
awniej dawniej
awniej dawniej
awno dawno
awny dawny
awny dawny
awy sprawy
azał kazał
azał kazał
azdy i_gwiazdy
azja burżuazja
azjah fantazjach
azu od_razu
ałbym chciałbym
ałda lauda
ałe i_białe
ało całą
ało z_białą
ałty i_gwałty
ałym przed_zuchwałym
ańcu krańcu
ańcy wysłańcy
aśnie baśnie
aźne wyraźne
ażał nie_zważał
ażał uważał
ażdy każdy
aże straże
ażem regimentarzem
ażne poważne
ażnik strażnik
ea do_tartuffea
ebie dla_ciebie
ebie siebie
eby i_żeby
eci i_do_dzieci
ecia Tecia
eciah dzieciach
ecie dziecię
eciesz pleciesz
ecnie obecnie
ecność obecność
ectwo szlachectwo
ecuf pieców
ecy dalecy
eczność wieczność
ednak jednak
ednak jednak
ednej jednej
ednio niż_poprzednio
edom Szwedom
edwa ze_dwa
0edy a_kiedy
0edy kiedy
0edy kiedy
edział odpowiedział
edział siedział
edzieć usiedzieć
egdzie gdzieniegdzie
egoś czegoś
egu śniegu
egłem biegłem
egłem pobiegłem
ehać jechać
ehał jechał
ehcesz zechcesz
ehem Czechem
ehem śmiechem
ehy pociechy
eja nadzieja
ekasz lekarz
eke w_rzekę
ekiem człowiekiem
ekiem człowiekiem
eknij rzeknij
ekrwi ze_krwi
ela niedziela
elcy strzelcy
ele obywatele
eli jeżeli
eli obejrzeli
elii Rumelii
elić dzielić
elki wielki
elki wielki
elkiem na_wielkiem
elnie rzetelnie
elskiej rodzicielskiej
elsza weselsza
elu o_celu
emal niemal
embe w_gębę
embie gołębie
emiał nie_miał
empel stempel
emusz czemuż
ena dżentelmena
ence ręce
enczał klęczał
endy błędy
endzej prędzej
endzie będzie
endzie wszędzie
endziesz będziesz
endzmi i_pieniędzmi
eniec nowożeniec
enko panienko
entko prędko
entre du_ventre
entsznej wewnętrznej
epczonc szepcząc
era Adlera
era litera
eras teraz
eras teraz
erał spozierał
erdzi utwierdzi
erfsze pierwsze
erfszym najpierwszym
ermka od_giermka
ero dopiero
erstwo rycerstwo
ery cztery
ery papiery
esiełć dziesięć
esteś jesteś
eszcie aż_wreszcie
eszcie wreszcie
eszek gdyż_mieszek
eszet przeszedł
esznyh śmiesznych
eszto zresztą
eszto zresztą
eszło wzeszło
etnie trzyletnie
etnih aż_przy_letnich
eto przeto
eto serwetą
etrah metrach
etuf do_poetów
etuf parapetów
ety kobiety
ewa z_drzewa
ewasz ponieważ
ewać śpiewać
ewiesz nie_wierz
ewne zapewne
ewnej pewnej
ewu śpiewu
ezar i_cezar
ełku zgiełku
ełniał napełniał
ełste częste
ełszko ciężką
ełzi na_uwięzi
ełża księża
ełże węże
ełżny księżny
ełżny potężny
ełżył wytężył
eńczyh szaleńczych
eśli jeśli
eśniej wcześniej
eże bierze
eżo świeżo
eży leży
eży leży
eżyć bieżyć
obić zrobić
obił pobił
obne i_nadobne
obne podobne
obnej podobnej
obok obok
obra dobra
obu sposobu
obus obóz
oby dla_osoby
ocionk na_pociąg
ockiej Janockiej
ocy mocy
ocy nocy
oczah oczach
oczkah oczkach
ocznie widocznie
oczy oczy
oczy w_oczy
oczym po_czym
oda gospoda
oda i_niezgoda
odah w_pochodach
odał dodał
odnie niezawodnie
odu z_ogrodu
ody i_wygody
odym przed_młodym
odze odchodzę
odzi przychodzi
odzi wchodzi
odzi wchodzi
odzon ugodzon
odłuk podług
ofcu synowcu
ofszem owszem
oga droga
oge drogę
oge na_drogę
ogie ubogie
ognie ognie
ognie pognie
ogość błogość
ogła nie_mogła
ogły nie_zmogły
ohe trochę
oi stoi
ojcem ojcem
ojciec ojciec
oje dwoje
ojej we_dwojej
ojna wojna
ojo z_moją
ojska że_i_wojska
ojżał spojrzał
ojżeć dojrzeć
oki czworoboki
oki w_mroki
okiem wzrokiem
oknem pod_oknem
oknie w_oknie
okszyk okrzyk
oku w_oku
oku zmroku
okuf kroków
okuj pokój
ola z_Podola
ola że_wola
olej kolej
oli powoli
oli woli
olik na_stolik
ollet Smollet
olne niezdolne
olno wolno
olność wolność
olsku po_polsku
ombe pombe
omek tomek
omi nieruchomi
omkom potomkom
omne pomnę
omu a_w_domu
omu do_domu
omu domu
omu nikomu
omy ze_słomy
onah na_szponach
onah w_ramionach
onart leonard
ondał poglądał
ondek porządek
one w_stronę
onga nadciąga
ongnoł ciągnął
oni lecz_oni
onia z_konia
oniec koniec
oniec na_koniec
oniej o_niej
opcy chłopcy
opkiem z_parobkiem
opni stopni
opność roztropność
opy okopy
ora od_wieczora
orah wieczorach
orem wieczorem
orii historii
orna wieczorna
orsze Dorszę
orszym najgorszym
ory pory
osat osad
osce w_wiosce
osia zosia
osioł osioł
oso rosą
ospraf do_spraw
ostać zostać
ostszek i_spostrzegł
osup sposób
oszo podnoszą
oszuf Bartoszów
osła wyrosła
osło wyniosłą
ota nie_sromota
otcioł odciął
otem Kichotem
otem a_potem
otem i_knotem
otem obrotem
otem potem
otem z_powrotem
otem łoskotem
otki zarodki
otknie dotknie
otnik robotnik
oto oto
otu grzmotu
owe głowę
owem słowem
owiem bowiem
owio zowią
ownym cudownym
ozie i_na_powrozie
ozum i_rozum
ozwasz rozważ
ozwiał rozwiał
oła co_woła
oła dokoła
oła koła
oła szkoła
ołah czołach
ołku na_stołku
oło a_około
ołskah o_obowiązkach
ołży dąży
ońca jak_słońca
ońcu końcu
oślep na_oślep
oża loża
oże i_może
oże może
oże może
ożność możność
ożo Bożą
ożył otworzył
uby dla_próby
uca wyrzuca
ucał wyrzucał
uciem ukłuciem
ucje egzekucję
ucki ludzki
uczcie na_uczcie
uczył uczył
udnie studnie
udy do_nudy
udzi ludzi
udzie ludzie
udzyh cudzych
ufczas wówczas
uffe tartuffe
ugie długie
ugim bo_w_drugim
uhaj słuchaj
uho głucho
uho głucho
ujdzie i_pójdzie
ukał szukał
uki buńczuki
uki halsztuki
uki na_nauki
ukrat ukradł
ula Anula
ulek Lulek
ulu bólu
umfu tryumfu
undy sekundy
unieść unieść
unki korunki
unołć posunąć
unołć usunąć
ura która
urah na_skórach
urah na_skórach
ure które
uro którą
uro że_za_chmurą
uroncz oburącz
uru marmuru
ury który
ury który
ury który
ury który
ury skóry
ury z_szlachciury
uryh których
urym w_którym
urym w_którym
ustra Zaratustra
uszać wzruszać
uszczah i_puszczach
utaj tutaj
utce wkrótce
utnie okrutnie
utnio lutnią
utny smutny
uwi mówi
uwie mówię
uwie mówię
uwić mówić
uwna że_Jurandówna
uwno zarówno
uwnyh na_nierównych
uze Siuzę
ułkah kółkach
uścian u_ścian
uża jak_burza
użby służby
uże wzgórze
użnym w_podróżnym
uży którzy
użyć użyć
użył służył
ybalt tybalt
ybam chybam
ybrne nie_wybrnę
yby gdyby
yca zachwyca
yce źrenicę
ycic Kmicic
ycic Kmicic
yciel właściciel
ycy suchotnicy
yczka jak_pieprzniczka
ycznie platonicznie
yczny śliczny
ycznyh artystycznych
ycznyh rozlicznych
ycznyh w_nielicznych
ydam nie_wydam
ydeł prawideł
ydze widzę
ydzi widzi
ydział widział
ydzie idzie
ydłah skrzydłach
ygar cygar
ygi w_podrygi
ygły śmigły
yhać słychać
yhał oddychał
yhe ciche
yhnoł kichnął
yhot Kichot
yhło rychło
yjaźń przyjaźń
yjo obdukcyją
yka Stolnika
ykan wytykan
ykać pomykać
yki Riki
yki krzyki
ykno przywykną
ykpisz nie_wykpisz
ykta Benedykta
yla co_chwila
yle przez_chwilę
ylko tylko
ylko tylko
ylla Cirongilla
ylu tylu
ymam nie_dotrzymam
ymie imię
ymieść przymieść
ymny zimny
ymsza Rymsza
ymu z_Krymu
yna Kostryna
yna przyczyna
yna rodzina
yna syna
ynah na_ruinach
ynah niż_o_Chinach
yniej przy_niej
ynijć wynijdź
ynić czynić
ynke dziewczynkę
ynni inni
ynno przez_inną
ynnyh innych
ynołć wypłynąć
ynu seledynu
ynuk kanonadynóg
ypiam sypiam
ysał spisał
yscy wszyscy
ysi wisi
ysiaj a_dzisiaj
ysiaj dzisiaj
ysko blisko
ysko nisko
yskuf uścisków
ystkie wszystkie
ystkim przede_wszystkim
ystko wszystko
ysto rzeczywistą
ystym z_krwistym
yszał jak_dyszał
yszał słyszał
yszej ciszej
yszet przyszedł
yszsze wyższe
yszszy a_najbliższy
yszszym na_najwyższym
yszy w_ciszy
yszła przyszła
yszły wyszły
ysłał wysłał
ysłu przemysłu
yta do_koryta
ytał powitał
ytał pytał
yte odkryte
ytej pokrytej
ytość litość
ytu bytu
ytwa bitwa
ytwa bitwa
yty obfity
ywa i_rozrywa
ywa przeraźliwa
ywie lękliwie
ywie przenikliwie
ywom wpływom
ywy uczciwy
ywym straszliwym
yzby izby
yzna ojczyzna
yłbym byłbym
yłość miłość
yńcie uczyńcie
yślał myślał
yślał rozmyślał
yśli wymyśli
yźni mężczyźni
yźnie mężczyźnie
yża zbliża
yży ryży
